,track_id,race_date,race,program_number,horse_id,finishing_place
0,AQU,2019-01-01,1,5,0,1
1,AQU,2019-01-01,1,1,1,2
2,AQU,2019-01-01,1,2,2,3
3,AQU,2019-01-01,1,3,3,4
4,AQU,2019-01-01,1,4,4,5
5,AQU,2019-01-01,2,6,5,1
6,AQU,2019-01-01,2,1,6,2
7,AQU,2019-01-01,2,5,7,3
8,AQU,2019-01-01,2,3,8,4
9,AQU,2019-01-01,2,4,9,5
10,AQU,2019-01-01,2,7,10,6
11,AQU,2019-01-01,2,2,11,7
12,AQU,2019-01-01,3,3,12,1
13,AQU,2019-01-01,3,1,13,2
14,AQU,2019-01-01,3,4,14,3
15,AQU,2019-01-01,3,7,15,4
16,AQU,2019-01-01,3,6,16,5
17,AQU,2019-01-01,3,8,17,6
18,AQU,2019-01-01,3,5,18,7
19,AQU,2019-01-01,3,2,19,8
20,AQU,2019-01-01,4,1,20,1
21,AQU,2019-01-01,4,3,21,2
22,AQU,2019-01-01,4,6,22,3
23,AQU,2019-01-01,4,1A,23,4
24,AQU,2019-01-01,4,4,24,5
25,AQU,2019-01-01,4,5,25,6
26,AQU,2019-01-01,5,6,26,1
27,AQU,2019-01-01,5,8,27,2
28,AQU,2019-01-01,5,1,28,3
29,AQU,2019-01-01,5,5,29,4
30,AQU,2019-01-01,5,7,30,5
31,AQU,2019-01-01,5,2,31,6
32,AQU,2019-01-01,5,3,32,7
33,AQU,2019-01-01,6,6,33,1
34,AQU,2019-01-01,6,7,34,2
35,AQU,2019-01-01,6,2,35,3
36,AQU,2019-01-01,6,10,36,4
37,AQU,2019-01-01,6,9,37,5
38,AQU,2019-01-01,6,8,38,6
39,AQU,2019-01-01,6,5,39,7
40,AQU,2019-01-01,7,9,40,1
41,AQU,2019-01-01,7,2,41,2
42,AQU,2019-01-01,7,1,42,3
43,AQU,2019-01-01,7,3,43,4
44,AQU,2019-01-01,7,6,44,5
45,AQU,2019-01-01,7,7,45,6
46,AQU,2019-01-01,7,5,46,7
47,AQU,2019-01-01,8,3,47,1
48,AQU,2019-01-01,8,4,48,2
49,AQU,2019-01-01,8,2,49,3
50,AQU,2019-01-01,8,5,50,4
51,AQU,2019-01-01,8,6,51,5
52,AQU,2019-01-01,8,1,52,6
53,AQU,2019-01-01,9,3,53,1
54,AQU,2019-01-01,9,10,54,2
55,AQU,2019-01-01,9,8,55,3
56,AQU,2019-01-01,9,11,56,4
57,AQU,2019-01-01,9,9,57,5
58,AQU,2019-01-01,9,4,58,6
59,AQU,2019-01-01,9,7,59,7
60,AQU,2019-01-01,9,6,60,8
61,AQU,2019-01-01,9,1,61,9
62,AQU,2019-01-04,1,4,62,1
63,AQU,2019-01-04,1,5,63,2
64,AQU,2019-01-04,1,3,64,3
65,AQU,2019-01-04,1,2,65,4
66,AQU,2019-01-04,1,6,66,5
67,AQU,2019-01-04,1,1,67,6
68,AQU,2019-01-04,2,4,68,1
69,AQU,2019-01-04,2,5,69,2
70,AQU,2019-01-04,2,2,70,3
71,AQU,2019-01-04,2,1,71,4
72,AQU,2019-01-04,2,3,72,5
73,AQU,2019-01-04,2,6,73,6
74,AQU,2019-01-04,3,3,74,1
75,AQU,2019-01-04,3,2,75,2
76,AQU,2019-01-04,3,7,76,3
77,AQU,2019-01-04,3,4,77,4
78,AQU,2019-01-04,3,1,78,5
79,AQU,2019-01-04,3,5,79,6
80,AQU,2019-01-04,4,1,80,1
81,AQU,2019-01-04,4,5,81,2
82,AQU,2019-01-04,4,2,82,3
83,AQU,2019-01-04,4,4,83,4
84,AQU,2019-01-04,4,7,84,5
85,AQU,2019-01-04,4,6,85,6
86,AQU,2019-01-04,4,3,86,7
87,AQU,2019-01-04,5,3,87,1
88,AQU,2019-01-04,5,6,88,2
89,AQU,2019-01-04,5,4,89,3
90,AQU,2019-01-04,5,2,90,4
91,AQU,2019-01-04,5,1,91,5
92,AQU,2019-01-04,5,5,92,6
93,AQU,2019-01-04,6,3,93,1
94,AQU,2019-01-04,6,2,94,2
95,AQU,2019-01-04,6,6,95,3
96,AQU,2019-01-04,6,7,96,4
97,AQU,2019-01-04,6,5,97,5
98,AQU,2019-01-04,6,4,98,6
99,AQU,2019-01-04,6,1,99,7
100,AQU,2019-01-04,7,5,100,1
101,AQU,2019-01-04,7,2,101,2
102,AQU,2019-01-04,7,7,102,3
103,AQU,2019-01-04,7,1A,103,4
104,AQU,2019-01-04,7,4,104,5
105,AQU,2019-01-04,7,6,105,6
106,AQU,2019-01-04,8,4,106,1
107,AQU,2019-01-04,8,3,107,2
108,AQU,2019-01-04,8,6,108,3
109,AQU,2019-01-04,8,7,109,4
110,AQU,2019-01-04,8,2,110,5
111,AQU,2019-01-04,8,8,111,6
112,AQU,2019-01-04,8,1,112,7
113,AQU,2019-01-05,1,8,113,1
114,AQU,2019-01-05,1,4,114,2
115,AQU,2019-01-05,1,5,115,3
116,AQU,2019-01-05,1,3,116,4
117,AQU,2019-01-05,1,6,117,5
118,AQU,2019-01-05,1,1,118,6
119,AQU,2019-01-05,2,5,119,1
120,AQU,2019-01-05,2,1,120,2
121,AQU,2019-01-05,2,2,121,3
122,AQU,2019-01-05,2,4,122,4
123,AQU,2019-01-05,2,6,123,5
124,AQU,2019-01-05,2,3,124,6
125,AQU,2019-01-05,3,5,125,1
126,AQU,2019-01-05,3,7,126,2
127,AQU,2019-01-05,3,6,127,3
128,AQU,2019-01-05,3,2,128,4
129,AQU,2019-01-05,3,1,129,5
130,AQU,2019-01-05,3,4,130,6
131,AQU,2019-01-05,4,1A,131,1
132,AQU,2019-01-05,4,6,132,2
133,AQU,2019-01-05,4,4,133,3
134,AQU,2019-01-05,4,5,134,4
135,AQU,2019-01-05,4,2,135,5
136,AQU,2019-01-05,4,7,136,6
137,AQU,2019-01-05,4,8,137,7
138,AQU,2019-01-05,4,3,138,8
139,AQU,2019-01-05,5,4,139,1
140,AQU,2019-01-05,5,1,140,2
141,AQU,2019-01-05,5,6,141,3
142,AQU,2019-01-05,5,5,142,4
143,AQU,2019-01-05,5,2,143,5
144,AQU,2019-01-05,5,3,144,6
145,AQU,2019-01-05,6,9,145,1
146,AQU,2019-01-05,6,3,146,2
147,AQU,2019-01-05,6,8,147,3
148,AQU,2019-01-05,6,2,148,4
149,AQU,2019-01-05,6,1,149,5
150,AQU,2019-01-05,6,6,150,6
151,AQU,2019-01-05,6,11,151,7
152,AQU,2019-01-05,6,7,152,8
153,AQU,2019-01-05,6,5,153,9
154,AQU,2019-01-05,7,8,154,1
155,AQU,2019-01-05,7,1,155,2
156,AQU,2019-01-05,7,3,156,3
157,AQU,2019-01-05,7,2,157,4
158,AQU,2019-01-05,7,5,158,5
159,AQU,2019-01-05,7,7,159,6
160,AQU,2019-01-05,7,6,160,7
161,AQU,2019-01-05,8,3,161,1
162,AQU,2019-01-05,8,5,162,2
163,AQU,2019-01-05,8,10,163,3
164,AQU,2019-01-05,8,2,164,4
165,AQU,2019-01-05,8,7,165,5
166,AQU,2019-01-05,8,6,166,6
167,AQU,2019-01-05,8,4,167,7
168,AQU,2019-01-05,8,8,168,8
169,AQU,2019-01-05,9,1,169,1
170,AQU,2019-01-05,9,5,170,2
