run_id,avg_speed_kmh_stage1,avg_speed_kmh_stage2,avg_speed_kmh_stage3,avg_speed_kmh_stage4,median_position_stage1,median_position_stage2,median_position_stage3,median_position_stage4,rid,track_id,distance_id,course_type,track_condition,race_type,win,position_at_finish
AQU_2019-01-01_1_0,63.28108300931834,71.82614532286225,68.39454098455627,61.29295203160209,1.0,1.0,1.0,1.0,AQU_2019-01-01_1,AQU,650,D,MY ,AOC,1,1
AQU_2019-01-01_1_1,65.31467491090876,70.79756521666579,67.58926285878971,58.62168283166208,2.0,2.0,2.0,2.0,AQU_2019-01-01_1,AQU,650,D,MY ,AOC,0,2
AQU_2019-01-01_1_2,62.485964851510595,70.67466049043901,66.52515656885211,59.66763595241069,3.0,3.0,3.0,3.0,AQU_2019-01-01_1,AQU,650,D,MY ,AOC,0,3
AQU_2019-01-01_1_3,64.89504518217157,70.84821535681452,65.78367519020573,57.051886648101245,4.0,4.0,4.0,4.0,AQU_2019-01-01_1,AQU,650,D,MY ,AOC,0,4
AQU_2019-01-01_1_4,64.34254682435007,70.75801558413653,66.05187179904019,58.176719335092436,5.0,5.0,5.0,5.0,AQU_2019-01-01_1,AQU,650,D,MY ,AOC,0,5
AQU_2019-01-01_2_10,64.3839331913479,69.62134256145175,63.64123936195911,57.851689428474266,1.0,1.0,1.0,1.0,AQU_2019-01-01_2,AQU,600,D,MY ,MCL,0,6
AQU_2019-01-01_2_11,66.36371280648386,68.24831807832624,62.20671409254552,54.54058672318117,2.0,2.0,2.0,2.0,AQU_2019-01-01_2,AQU,600,D,MY ,MCL,0,7
AQU_2019-01-01_2_5,66.61685178610405,70.01097629425263,66.97120007386641,59.332585191841275,3.0,3.0,3.0,3.0,AQU_2019-01-01_2,AQU,600,D,MY ,MCL,1,1
AQU_2019-01-01_2_6,67.6911351482545,69.05354565975257,65.96320076520253,57.4203234734316,4.0,4.0,4.0,4.0,AQU_2019-01-01_2,AQU,600,D,MY ,MCL,0,2
AQU_2019-01-01_2_7,65.633910372976,69.38422414780722,64.98969841474177,58.76387768420316,5.0,5.0,5.0,5.0,AQU_2019-01-01_2,AQU,600,D,MY ,MCL,0,3
