,track_id,race_date,race_number,program_number,trakus_index,latitude,longitude,distance_id,course_type,track_condition,run_up_distance,race_type,purse,post_time,weight_carried,jockey,odds,position_at_finish,distance_id_m,run_up_distance_m,horse_pk,rid,horse_id,horse_name,win,time_seconds,prev_latitude,prev_longitude,prev_time_seconds,is_first_obs,distance_m,cumulative_distance_m,cum_race_distance_m,speed_kmh,position_rank
3554659,BEL,2019-09-22,6,7,167,40.7162512208742,-73.7279309708816,700,Dirt,FT ,63,MSW,62000.0,338,119,Irad Ortiz Jr.,135,1,1408.18,19.2,BEL_2019-09-22_6_7,BEL_2019-09-22_6,2837,Firenze Freedom,1,41.75,40.7162943448319,-73.727920701664,41.5,False,4.8726465515543325,821.6793510239665,802.4793510239665,70.1661103423824,4
4921782,SAR,2019-08-28,3,9,10,43.0725884311994,-73.7694735973646,850,Turf,FM ,92,AOC,83000.0,155,124,Kendrick Carmouche,400,1,1709.93,28.04,SAR_2019-08-28_3_9,SAR_2019-08-28_3,1358,War Canoe,1,2.5,43.0726001725488,-73.7694426439727,2.25,False,2.8330095551594985,14.040691104750596,-13.999308895249403,40.79533759429678,4
802894,AQU,2019-03-22,4,3,123,40.67522876462,-73.827640344465,600,Dirt,SY ,48,MCL,46000.0,317,114,Joey R. Martinez,290,2,1207.01,14.63,AQU_2019-03-22_4_3,AQU_2019-03-22_4,1014,Xanthique,0,30.75,40.6751999045945,-73.8276015781879,30.5,False,4.581067175971786,588.3490325722609,573.7190325722609,65.96736733399372,4
1592063,AQU,2019-11-21,1,1,105,40.6742056509344,-73.8270883029472,600,Dirt,FT ,40,MCL,41000.0,1252,122,Luis A. Rodriguez Castro,2390,9,1207.01,12.19,AQU_2019-11-21_1_1,AQU_2019-11-21_1,2330,Lady Cat,0,26.25,40.6741609176408,-73.827090848086,26.0,False,4.978744157545107,465.93298754381107,453.74298754381107,71.69391586864954,8
4482534,SAR,2019-08-02,9,5,134,43.070176690635,-73.7723845687208,950,Turf,FM ,45,STK,750000.0,551,121,Julien R. Leparoux,30,1,1911.1,13.72,SAR_2019-08-02_9_5,SAR_2019-08-02_9,3572,Concrete Rose,1,33.5,43.0702137449667,-73.7724077315048,33.25,False,4.52952189369028,587.412866703202,573.692866703202,65.22511526914003,1
1232934,AQU,2019-11-02,10,10,22,40.6708944805431,-73.8284694917577,600,Dirt,FT ,40,MCL,41000.0,508,114,Declan Carroll,440,9,1207.01,12.19,AQU_2019-11-02_10_10,AQU_2019-11-02_10,1674,Macho Boy,0,5.5,40.670855167989,-73.828486571581,5.25,False,4.602576766448574,76.60780471029717,64.41780471029718,66.27710543685947,4
227137,AQU,2019-01-25,5,1,259,40.6755986252651,-73.8291945793731,800,Dirt,GD ,52,CLM,20000.0,227,125,Ruben Silvera,1920,8,1609.34,15.85,AQU_2019-01-25_5_1,AQU_2019-01-25_5,613,Caribbean Girl,0,64.75,40.6756062633154,-73.8291485081923,64.5,False,3.977000708298214,1137.366844910101,1121.516844910101,57.26881019949428,8
287063,AQU,2019-01-27,7,6,208,40.6736959261345,-73.8309852791082,600,Dirt,FT ,45,AOC,75000.0,334,123,Rafael Manuel Hernandez,1290,3,1207.01,13.72,AQU_2019-01-27_7_6,AQU_2019-01-27_7,722,Take Your Place,0,52.0,40.6737338460248,-73.8309665377284,51.75,False,4.50299420594045,1013.6831699129747,999.9631699129746,64.84311656554247,2
2654198,BEL,2019-05-30,7,1,214,40.7169854374814,-73.7275180597805,850,Dirt,SY ,44,MSW,80000.0,612,118,Dylan Davis,4125,6,1709.93,13.41,BEL_2019-05-30_7_1,BEL_2019-05-30_7,1383,Cairo Queen,0,53.5,40.7170174478604,-73.7274875240083,53.25,False,4.392302837346993,1033.138613112735,1019.7286131127349,63.249160857796696,3
2913425,BEL,2019-06-15,1,1,124,40.7164752016163,-73.7216353372619,850,Turf,FM ,90,MCL,52000.0,130,118,Manuel Franco,760,3,1709.93,27.43,BEL_2019-06-15_1_1,BEL_2019-06-15_1,386,Deft,0,31.0,40.716461577265,-73.7215824331527,30.75,False,4.709092652633805,579.1322130880588,551.7022130880589,67.8109341979268,6
2578792,BEL,2019-05-25,5,3,68,40.7171196134114,-73.7228413171788,700,Dirt,FT ,54,STR,55000.0,340,120,Eric Cancel,630,3,1408.18,16.46,BEL_2019-05-25_5_3,BEL_2019-05-25_5,1452,Ruvies in Time,0,17.0,40.717103943045,-73.7227831875549,16.75,False,5.19975469288907,298.6086174852489,282.1486174852489,74.87646757760261,5
1542879,AQU,2019-11-17,1,3,99,40.6697123961816,-73.8305910012094,800,Turf,FM ,72,CLM,44000.0,1200,120,Irad Ortiz Jr.,320,2,1609.34,21.95,AQU_2019-11-17_1_3,AQU_2019-11-17_1,2234,Scoreswhenhewants,0,24.75,40.6697102681841,-73.830642139237,24.5,False,4.319416798443223,452.7344090721645,430.7844090721645,62.19960189758241,5
302051,AQU,2019-02-01,5,2,49,40.6703524379554,-73.8323204368992,900,Dirt,FT ,102,MCL,30000.0,252,123,Carlos J. Hernandez,4925,7,1810.51,31.09,AQU_2019-02-01_5_2,AQU_2019-02-01_5,375,Martini Lane,0,12.25,40.6703975263671,-73.8323238662609,12.0,False,5.021938179582311,191.323082617161,160.233082617161,72.31590978598528,3
3466636,BEL,2019-09-18,7,4,305,40.7132546189747,-73.7224800566989,700,Dirt,FT ,54,STK,150000.0,609,120,Irad Ortiz Jr.,155,3,1408.18,16.46,BEL_2019-09-18_7_4,BEL_2019-09-18_7,3731,Irish Danzing,0,76.25,40.7132665521369,-73.7225209106708,76.0,False,3.690151823383748,1451.1924920036217,1434.7324920036217,53.13818625672597,3
2104657,AQU,2019-12-29,6,11,182,40.6739183602394,-73.8271421190598,800,Dirt,FT ,54,ALW,64000.0,258,116,Declan Carroll,580,5,1609.34,16.46,AQU_2019-12-29_6_11,AQU_2019-12-29_6,1609,Paved With Gold,0,45.5,40.6738772884899,-73.827157206438,45.25,False,4.7409022216030845,834.7405068426228,818.2805068426228,68.26899199108442,6
3170572,BEL,2019-07-04,6,1,145,40.7173527298375,-73.726601122281,700,Turf,FM ,92,MCL,41000.0,416,118,Joel Rosario,195,2,1408.18,28.04,BEL_2019-07-04_6_1,BEL_2019-07-04_6,2355,Shannon's Girl,0,36.25,40.717371288305,-73.7265473509006,36.0,False,4.979511193982692,698.9239446355676,670.8839446355677,71.70496119335077,7
4212232,SAR,2019-07-18,4,4,243,43.0701995220058,-73.7720824283298,1100,Turf,GD ,225,AOC,92000.0,248,126,John R. Velazquez,680,6,2212.85,68.58,SAR_2019-07-18_4_4,SAR_2019-07-18_4,4114,Trinity (FR),0,60.75,43.0702343516202,-73.7721080765338,60.5,False,4.397695246893746,1061.0384765174094,992.4584765174094,63.32681155526994,4
4361243,SAR,2019-07-27,5,9,23,43.0725897199562,-73.7687120613695,850,Turf,GD ,28,AOC,95000.0,320,124,Ricardo Santana Jr.,490,4,1709.93,8.53,SAR_2019-07-27_5_9,SAR_2019-07-27_5,4241,Keep Quiet (FR),0,5.75,43.0726099688663,-73.7686650119905,5.5,False,4.435618530674621,63.827197269105845,55.297197269105844,63.87290684171455,7
1882715,AQU,2019-12-08,5,3,187,40.6746838846217,-73.8304673095161,600,Dirt,FT ,40,MSW,62000.0,149,119,Jorge A. Vargas Jr.,1470,3,1207.01,12.19,AQU_2019-12-08_5_3,AQU_2019-12-08_5,2697,Makingcents,0,46.75,40.6747222339119,-73.8304495602644,46.5,False,4.519329056569746,885.4961599739895,873.3061599739895,65.07833841460435,3
2073150,AQU,2019-12-28,5,5,328,40.6706419307679,-73.8323549986629,650,Dirt,FT ,52,CLM,46000.0,223,117,Declan Carroll,420,4,1307.59,15.85,AQU_2019-12-28_5_5,AQU_2019-12-28_5,2136,Keep Your Distance,0,82.0,40.6706702299712,-73.8323431454214,81.75,False,3.3017039826270826,1464.4482296513763,1448.5982296513764,47.544537349829994,4
1356002,AQU,2019-11-09,3,10,355,40.6722543384024,-73.8312406237239,850,Turf,FM ,35,CLM,38000.0,1255,120,Kendrick Carmouche,280,6,1709.93,10.67,AQU_2019-11-09_3_10,AQU_2019-11-09_3,1859,Spinning Kitten,0,88.75,40.6722925289658,-73.8312229242312,88.5,False,4.501304208337848,1663.109914921104,1652.439914921104,64.81878060006501,3
4447261,SAR,2019-08-01,7,5,179,43.0711210467144,-73.7672916620955,800,Turf,FM ,92,AOC,83000.0,441,124,Ricardo Santana Jr.,680,7,1609.34,28.04,SAR_2019-08-01_7_5,SAR_2019-08-01_7,4305,Blue Atlas,0,44.75,43.0711007467306,-73.7673425333782,44.5,False,4.708536880648803,823.0730926145336,795.0330926145336,67.80293108134276,4
1810249,AQU,2019-12-06,2,11,136,40.672148152722,-73.827942062906,800,Dirt,FT ,54,ALW,75000.0,1220,121,Kendrick Carmouche,650,4,1609.34,16.46,AQU_2019-12-06_2_11,AQU_2019-12-06_2,1856,Quality Choice,0,34.0,40.6721077740779,-73.8279609683035,33.75,False,4.764591465951197,636.8767808081008,620.4167808081007,68.61011710969724,2
3966166,BEL,2019-10-20,10,6,119,40.7174895463142,-73.725178919308,700,Turf,GD ,90,WMC,41000.0,512,124,Luis R. Reyes,1940,8,1408.18,27.43,BEL_2019-10-20_10_6,BEL_2019-10-20_10,109,Frosty Linz,0,29.75,40.7174780127177,-73.7251219538611,29.5,False,4.969308011692288,574.0908475188313,546.6608475188314,71.55803536836895,5
4141890,SAR,2019-07-13,11,12,111,43.0697846279492,-73.7708632622118,800,Turf,GD ,81,CLM,52000.0,656,123,Irad Ortiz Jr.,470,3,1609.34,24.69,SAR_2019-07-13_11_12,SAR_2019-07-13_11,1500,Catch a Cab,0,27.75,43.069779254256,-73.7709235307969,27.5,False,4.931971456951581,503.4603272827378,478.7703272827378,71.02038898010278,2
4800956,SAR,2019-08-21,9,7,73,43.071104145552,-73.7659870379856,600,Dirt,SY ,50,ALW,80000.0,546,120,Jose L. Ortiz,280,3,1207.01,15.24,SAR_2019-08-21_9_7,SAR_2019-08-21_9,666,Amundson,0,18.25,43.0710795868425,-73.766049331759,18.0,False,5.7498951764747765,355.56724382914865,340.32724382914864,82.79849054123679,2
1423350,AQU,2019-11-11,3,1,144,40.6743143150468,-73.8270978916219,700,Dirt,FT ,45,CLM,32000.0,1255,122,Keivan Serrano,290,5,1408.18,13.72,AQU_2019-11-11_3_1,AQU_2019-11-11_3,1060,Tale of Mist,0,36.0,40.6742693629963,-73.8270961088463,35.75,False,5.000700580798507,676.9616080012273,663.2416080012273,72.01008836349851,2
1408524,AQU,2019-11-10,7,6,30,40.6678206111445,-73.8298828173184,800,Dirt,FT ,54,ALW,75000.0,253,118,Eric Cancel,3425,3,1609.34,16.46,AQU_2019-11-10_7_6,AQU_2019-11-10_7,1965,Dark Storm,0,7.5,40.6677789354408,-73.8298998127172,7.25,False,4.850753901613526,114.3415092905536,97.8815092905536,69.85085618323478,6
3067216,BEL,2019-06-26,7,6,215,40.7140038911533,-73.7242504750549,600,Turf,FM ,72,ALW,66000.0,454,123,Irad Ortiz Jr.,520,3,1207.01,21.95,BEL_2019-06-26_7_6,BEL_2019-06-26_7,485,Questeq,0,53.75,40.7140176791591,-73.7243057798009,53.5,False,4.906913220509045,1081.263005397081,1059.313005397081,70.65955037533026,4
81734,AQU,2019-01-10,1,5,199,40.6746214701487,-73.8271351886435,800,Dirt,FT ,54,STR,55000.0,1250,123,Dylan Davis,560,6,1609.34,16.46,AQU_2019-01-10_1_5,AQU_2019-01-10_1,232,Hexameter,0,49.75,40.6745824220519,-73.827121191437,49.5,False,4.499548068705464,914.7834514593135,898.3234514593134,64.79349218935869,4
2441373,BEL,2019-05-17,2,2,281,40.713304862355,-73.7228223623017,650,Dirt,FT ,60,CLM,50000.0,201,118,Luis R. Reyes,275,4,1307.59,18.29,BEL_2019-05-17_2_2,BEL_2019-05-17_2,3052,B. B. Dude,0,70.25,40.7133162051201,-73.7228661559311,70.0,False,3.9006354918344344,1310.1350627730098,1291.8450627730099,56.16915108241586,4
2191553,BEL,2019-04-27,6,1,259,40.7145732144844,-73.7270982969931,800,Dirt,FT ,46,ALW,82000.0,412,124,Jose L. Ortiz,180,2,1609.34,14.02,BEL_2019-04-27_6_1,BEL_2019-04-27_6,327,American Power,0,64.75,40.7146012146952,-73.7271423869882,64.5,False,4.847932026975282,1232.8596579077785,1218.8396579077785,69.81022118844406,3
2253407,BEL,2019-05-03,2,8,148,40.7170912737741,-73.7238516378616,800,Turf,GD ,112,CLM,39000.0,204,120,Christopher P. DeCarlo,960,3,1609.34,34.14,BEL_2019-05-03_2_8,BEL_2019-05-03_2,2919,Sundrenched,0,37.0,40.717077250374,-73.7237972235488,36.75,False,4.843840898595662,683.5355116602301,649.3955116602301,69.75130893977753,9
3940518,BEL,2019-10-19,11,9,35,40.7162444010321,-73.7203273470453,700,Turf,FM ,90,MSW,62000.0,553,116,Benjamin Hernandez,10050,7,1408.18,27.43,BEL_2019-10-19_11_9,BEL_2019-10-19_11,2051,Masterprize,0,8.75,40.7162306276467,-73.7202700833077,8.5,False,5.06337354351299,137.9209263797591,110.49092637975909,72.91257902658705,9
3779057,BEL,2019-10-06,5,10,233,40.7139720716692,-73.7252427548228,650,Dirt,FT ,48,MCL,46000.0,305,119,John R. Velazquez,490,4,1307.59,14.63,BEL_2019-10-06_5_10,BEL_2019-10-06_5,2125,Mebs Web,0,58.25,40.7139858958661,-73.7252942673348,58.0,False,4.605721026800646,1100.3702232045277,1085.7402232045276,66.3223827859293,8
3274346,BEL,2019-09-06,5,10,109,40.7170733108778,-73.7274488665294,600,Dirt,SY ,76,AOC,70000.0,508,120,Joel Rosario,255,3,1207.01,23.16,BEL_2019-09-06_5_10,BEL_2019-09-06_5,2627,Sadie Lady,0,27.25,40.7171081806138,-73.7274107758243,27.0,False,5.033830073271822,528.465052645861,505.30505264586094,72.48715305511425,1
2318031,BEL,2019-05-09,3,2,412,40.7142288531428,-73.7240820232425,1000,Turf,GD ,94,MSW,90000.0,409,118,Joel Rosario,1400,2,2011.68,28.65,BEL_2019-05-09_3_2,BEL_2019-05-09_3,1336,Tide of the Sea,0,103.0,40.7142422805724,-73.7241326254534,102.75,False,4.5186854061244865,1902.0312118772438,1873.3812118772437,65.06906984819261,4
4808773,SAR,2019-08-22,3,4,253,43.0712310827467,-73.7663940263798,950,Turf,YL ,162,ALW,92000.0,154,120,Manuel Franco,255,3,1911.1,49.38,SAR_2019-08-22_3_4,SAR_2019-08-22_3,3186,Cap de Creus,0,63.25,43.0712104296847,-73.7664465515936,63.0,False,4.84534640806151,1145.740454304294,1096.3604543042939,69.77298827608574,3
1196564,AQU,2019-04-20,5,6,18,40.6715117282457,-73.832064502933,900,Dirt,SY ,94,ALW,75000.0,338,124,Joe Bravo,1470,3,1810.51,28.65,AQU_2019-04-20_5_6,AQU_2019-04-20_5,1562,King Cause,0,4.5,40.6715494169306,-73.8320490572102,4.25,False,4.388576104371487,56.07754792342459,27.42754792342459,63.19549590294942,2
4021923,BEL,2019-10-24,7,1,54,40.7164442154963,-73.7214115231649,700,Turf,GD ,76,AOC,80000.0,445,121,Joe Bravo,2230,7,1408.18,23.16,BEL_2019-10-24_7_1,BEL_2019-10-24_7,1502,Posse Needed,0,13.5,40.7164301548886,-73.7213560882029,13.25,False,4.926713479334479,235.57140599602926,212.41140599602926,70.9446741024165,4
