horse_pk,track_id,distance_id,course_type,track_condition,race_type,position_at_finish,win,speed_Q1,speed_Q2,speed_Q3,speed_Q4,pos_Q1,pos_Q2,pos_Q3,pos_Q4
AQU_2019-01-01_1_1,AQU,650,Dirt,MY ,AOC,2,0,65.42884490773287,70.86357980661887,67.92572049803036,59.31784445260101,1.0,1.0,1.0,2.0
AQU_2019-01-01_1_2,AQU,650,Dirt,MY ,AOC,3,0,63.031601473855986,70.58837565351833,66.66370769037435,59.87378445151924,5.0,5.0,5.0,3.0
AQU_2019-01-01_1_3,AQU,650,Dirt,MY ,AOC,4,0,65.12849178481683,70.7972527486452,66.32217737433466,57.39533672407935,2.0,2.0,2.0,4.0
AQU_2019-01-01_1_4,AQU,650,Dirt,MY ,AOC,5,0,64.58180408182861,70.75102262051045,66.57331368981717,58.425232008448525,3.0,3.0,4.0,4.0
AQU_2019-01-01_1_5,AQU,650,Dirt,MY ,AOC,1,1,63.8320158814947,71.80333551632413,68.6431436746079,61.784768518343235,4.0,4.0,3.0,1.0
AQU_2019-01-01_2_1,AQU,600,Dirt,MY ,MCL,2,0,67.4662714544997,69.48895929666314,66.37204724102756,57.930523186294444,1.0,1.0,2.0,2.0
AQU_2019-01-01_2_2,AQU,600,Dirt,MY ,MCL,7,0,66.36371280648386,68.53875748672993,62.37543929488251,54.58902964196223,4.0,5.0,6.0,7.0
AQU_2019-01-01_2_3,AQU,600,Dirt,MY ,MCL,4,0,66.46213804297217,68.85164756560148,65.03183690722514,59.770791370925565,3.0,3.0,4.0,3.0
AQU_2019-01-01_2_4,AQU,600,Dirt,MY ,MCL,5,0,65.95208464917401,69.4811360072667,64.41867899591769,56.94273040926781,5.0,4.0,5.0,5.0
AQU_2019-01-01_2_5,AQU,600,Dirt,MY ,MCL,3,0,65.73723581956862,69.5812097264818,65.28015864774916,58.987082685667566,6.0,6.0,3.0,4.0
AQU_2019-01-01_2_6,AQU,600,Dirt,MY ,MCL,1,1,66.61685178610405,70.45015190525375,67.19495633633973,59.85004865630271,6.0,2.0,1.0,1.0
AQU_2019-01-01_2_7,AQU,600,Dirt,MY ,MCL,6,0,64.65523241974262,69.7040453627421,63.529431530705885,58.22133277271155,2.0,7.0,7.0,6.0
AQU_2019-01-01_3_1,AQU,550,Dirt,MY ,MCL,2,0,64.73207468909105,71.08003895312173,64.758354975482,56.05561882616739,1.0,2.0,2.0,4.0
AQU_2019-01-01_3_2,AQU,550,Dirt,MY ,MCL,8,0,62.70644291005409,69.13374757673212,63.45954535209261,57.10469570363025,4.0,5.0,5.0,8.0
AQU_2019-01-01_3_3,AQU,550,Dirt,MY ,MCL,1,1,63.181127164095784,70.59048860891438,66.43744301981246,59.63851424352928,3.0,3.0,3.0,1.0
AQU_2019-01-01_3_4,AQU,550,Dirt,MY ,MCL,3,0,62.73202157347601,70.42700510003725,66.1121269999114,59.93873246395947,4.0,4.0,4.0,2.0
AQU_2019-01-01_3_5,AQU,550,Dirt,MY ,MCL,7,0,60.08755756372065,67.20251151404022,67.20281312987721,61.8312859762842,8.0,8.0,8.0,7.0
AQU_2019-01-01_3_6,AQU,550,Dirt,MY ,MCL,5,0,64.96481663918277,71.79256821567216,64.89531416183692,55.69834188360737,2.0,1.0,1.0,3.0
AQU_2019-01-01_3_7,AQU,550,Dirt,MY ,MCL,4,0,61.40588716850363,69.7909935290523,65.30936502743062,61.519718681056325,7.0,6.0,6.0,6.0
AQU_2019-01-01_3_8,AQU,550,Dirt,MY ,MCL,6,0,60.912333707662135,69.09554350352282,66.54339655074938,61.885850096714044,6.0,7.0,7.0,5.0
AQU_2019-01-01_4_1,AQU,900,Dirt,MY ,AOC,1,1,65.03644592054594,68.34242908737122,64.51528317643954,59.396616598840964,6.0,6.0,6.0,4.0
AQU_2019-01-01_4_1A,AQU,900,Dirt,MY ,AOC,4,0,67.60380729035857,68.64250671557639,64.12746625226343,57.8296356063459,1.0,1.0,1.0,2.0
AQU_2019-01-01_4_3,AQU,900,Dirt,MY ,AOC,2,0,65.86996906013866,68.29082323140894,64.47387105736573,56.901349196232154,4.0,5.0,4.0,3.0
AQU_2019-01-01_4_4,AQU,900,Dirt,MY ,AOC,5,0,67.13227899379682,68.28435010341148,62.83033327170839,55.55519427147679,2.0,2.0,3.0,5.0
AQU_2019-01-01_4_5,AQU,900,Dirt,MY ,AOC,6,0,66.28607568616336,68.60207140922613,61.12475421293271,50.74787911821462,3.0,3.0,5.0,6.0
AQU_2019-01-01_4_6,AQU,900,Dirt,MY ,AOC,3,0,65.76379300570144,69.40129424636613,64.6847507220595,58.314538622748216,5.0,4.0,2.0,1.0
AQU_2019-01-01_5_1,AQU,700,Dirt,MY ,ALW,3,0,62.5584297698631,70.76022837327014,66.24193884867935,55.379552690263644,5.0,4.0,2.0,3.0
AQU_2019-01-01_5_2,AQU,700,Dirt,MY ,ALW,6,0,63.10055648068032,69.32784587063222,62.61878528597104,42.722158618662256,3.0,2.0,4.0,6.0
AQU_2019-01-01_5_3,AQU,700,Dirt,MY ,ALW,7,0,59.77433459623274,69.13421805250721,60.9736435528794,44.29246984098576,7.0,7.0,7.0,7.0
AQU_2019-01-01_5_5,AQU,700,Dirt,MY ,ALW,4,0,61.70883860802384,68.3164545533141,65.65409596527253,55.82737611988353,6.0,6.0,6.0,4.0
AQU_2019-01-01_5_6,AQU,700,Dirt,MY ,ALW,1,1,64.09216194706495,70.13698176805829,67.10396113586262,54.34131208771594,1.0,1.0,1.0,1.0
AQU_2019-01-01_5_7,AQU,700,Dirt,MY ,ALW,5,0,62.82511320350765,69.399681538701,63.34448309441275,50.89769704486575,3.0,5.0,5.0,5.0
