,track_id,race_date,race_number,program_number,trakus_index,latitude,longitude,distance_id,course_type,track_condition,run_up_distance,race_type,purse,post_time,weight_carried,jockey,odds,position_at_finish,horse_pk,win,rid,horse_id,horse_name,timestamp,run_id,distance_km,speed_kmh,pctComplete,Stage
2546412,BEL,2019-06-29,6,6,104,40.7174746988946,-73.7268328909178,600,D,FT ,56,MSW,80000.0,412,118,Jose Lezcano,2150,5,BEL_2019-06-29_6_6,0,BEL_2019-06-29_6,3511,Holmdel,2019-06-29 16:12:26.000,BEL_2019-06-29_6_3511,0.004578216940802038,65.92632394754935,0.35,2
2615512,BEL,2019-05-10,6,9,131,40.716994462882,-73.7266771260515,600,I,GD ,144,MCL,41000.0,413,118,Kendrick Carmouche,345,4,BEL_2019-05-10_6_9,0,BEL_2019-05-10_6,1037,She's Not Bluffing,2019-05-10 16:13:32.750,BEL_2019-05-10_6_1037,0.004904750746742587,70.62841075309326,0.43,2
1965759,SAR,2019-07-24,10,5,204,43.0739303440697,-73.7660605538895,700,D,FT ,32,ALW,92000.0,620,124,Manuel Franco,530,5,SAR_2019-07-24_10_5,0,SAR_2019-07-24_10,2814,Take Charge Aubrey,2019-07-24 18:20:51.000,SAR_2019-07-24_10_2814,0.004965387744481779,71.50158352053762,0.61,3
789088,SAR,2019-07-17,3,2,241,43.072236040712,-73.7707991285783,550,D,SY ,50,AOC,95000.0,210,122,Jose L. Ortiz,870,5,SAR_2019-07-17_3_2,0,SAR_2019-07-17_3,372,Jewel Can Disco,2019-07-17 14:11:00.250,SAR_2019-07-17_3_372,0.003679869390096211,52.99011921738544,0.92,4
2450722,AQU,2019-02-15,3,5,308,40.67366868768,-73.8309673422619,800,D,FT ,54,CLM,50000.0,154,121,Manuel Franco,275,2,AQU_2019-02-15_3_5,0,AQU_2019-02-15_3,128,Bee'snbee's,2019-02-15 13:55:17.000,AQU_2019-02-15_3_128,0.004208250868953808,60.59881251293484,0.79,4
1270543,BEL,2019-06-16,9,3,259,40.7136180817618,-73.7238345218224,650,D,FT ,56,MCL,33000.0,556,124,Jose Lezcano,145,5,BEL_2019-06-16_9_3,0,BEL_2019-06-16_9,2925,Schwarbertown,2019-06-16 17:57:04.750,BEL_2019-06-16_9_2925,0.003976488209176995,57.26143021214873,0.69,3
2334670,BEL,2019-04-27,6,9,76,40.7166325276676,-73.7209507969283,800,D,FT ,46,ALW,82000.0,412,124,Dylan Davis,860,2,BEL_2019-04-27_6_9,0,BEL_2019-04-27_6,244,Mintz,2019-04-27 16:12:19.000,BEL_2019-04-27_6_244,0.005079414677648742,73.14357135814188,0.2,1
2869257,AQU,2019-11-16,7,3,96,40.6731162199898,-73.8275262922551,650,D,FT ,54,ALW,66000.0,255,118,John R. Velazquez,365,1,AQU_2019-11-16_7_3,1,AQU_2019-11-16_7,217,Mary's Girl,2019-11-16 14:55:24.000,AQU_2019-11-16_7_217,0.005605727796919063,80.72248027563451,0.29,2
195804,AQU,2019-03-30,10,10,172,40.6753919741254,-73.8278423890239,700,D,FT ,44,SST,80000.0,624,124,Eric Cancel,1830,9,AQU_2019-03-30_10_10,0,AQU_2019-03-30_10,1084,Candid Desire,2019-03-30 18:24:43.000,AQU_2019-03-30_10_1084,0.0046926679841725275,67.5744189720844,0.51,3
592044,SAR,2019-08-17,6,5,85,43.0717453483741,-73.7652146325656,550,T,FM ,90,ALW,92000.0,349,124,Ricardo Santana Jr.,450,2,SAR_2019-08-17_6_5,0,SAR_2019-08-17_6,4503,I Can Do Anything,2019-08-17 15:49:21.250,SAR_2019-08-17_6_4503,0.005832641634996053,83.99003954394315,0.34,2
4302575,SAR,2019-07-24,3,5,299,43.072549313332,-73.7700163251197,700,D,FT ,32,MSW,78000.0,201,119,Rajiv Maragh,2200,7,SAR_2019-07-24_3_5,0,SAR_2019-07-24_3,4188,More Than Silver,2019-07-24 14:02:14.750,SAR_2019-07-24_3_4188,0.0039617195917659226,57.048762121429284,0.88,4
4949105,BEL,2019-09-26,1,1,90,40.7163584303699,-73.7208794961489,800,T,FM ,168,MCL,46000.0,102,119,Hector Rafael Diaz Jr.,4325,7,BEL_2019-09-26_1_1,0,BEL_2019-09-26_1,1841,Launch Sequence,2019-09-26 13:02:22.500,BEL_2019-09-26_1_1841,0.00462232161275838,66.56143122372067,0.23,1
138190,AQU,2019-03-10,4,5,119,40.6715900240027,-73.8281689517368,800,D,SY ,54,CLM,32000.0,306,121,Carlos J. Hernandez,1700,8,AQU_2019-03-10_4_5,0,AQU_2019-03-10_4,609,Slam Chowder,2019-03-10 15:06:29.750,AQU_2019-03-10_4_609,0.0047506198581926205,68.40892595797374,0.29,2
813989,BEL,2019-10-19,6,2,180,40.7149773744141,-73.7275672990855,650,D,FT ,56,STK,150000.0,308,118,Luis Saez,870,3,BEL_2019-10-19_6_2,0,BEL_2019-10-19_6,791,T Loves a Fight,2019-10-19 15:08:45.000,BEL_2019-10-19_6_791,0.005138743464239887,73.99790588505438,0.59,3
3041753,BEL,2019-10-16,7,4,162,40.7149025157466,-73.7274861706538,600,D,MY ,64,ALW,77000.0,428,120,Joel Rosario,1250,5,BEL_2019-10-16_7_4,0,BEL_2019-10-16_7,3941,Al Shamkhah,2019-10-16 16:28:40.500,BEL_2019-10-16_7_3941,0.004870426213344022,70.13413747215391,0.56,3
417241,BEL,2019-06-23,9,2,81,40.7168546695061,-73.7242013336554,600,I,FM ,124,MCL,41000.0,551,124,Samuel Jimenez,7625,5,BEL_2019-06-23_9_2,0,BEL_2019-06-23_9,2571,Magical Romance,2019-06-23 17:51:20.250,BEL_2019-06-23_9_2571,0.005300973865352905,76.33402366108183,0.28,2
1755631,BEL,2019-04-26,9,16,293,40.7134670204624,-73.723354638089,700,D,SY ,45,ALW,66000.0,613,125,Manuel Franco,1050,2,BEL_2019-04-26_9_16,0,BEL_2019-04-26_9,892,Orchid Party,2019-04-26 18:14:13.250,BEL_2019-04-26_9_892,0.0041861689595819275,60.28083301797975,0.85,4
2164560,AQU,2019-01-25,9,2,211,40.6731559064586,-73.8311884702455,550,D,GD ,51,CLM,28000.0,429,122,Rajiv Maragh,500,5,AQU_2019-01-25_9_2,0,AQU_2019-01-25_9,207,Solitary Gem,2019-01-25 16:29:52.750,AQU_2019-01-25_9_207,0.004703590991989833,67.73171028465359,0.72,3
4457644,BEL,2019-07-06,5,4,254,40.7134653380695,-73.7225754624238,600,T,FM ,156,MSW,80000.0,318,118,Jose L. Ortiz,1160,2,BEL_2019-07-06_5_4,0,BEL_2019-07-06_5,3564,Time for Trouble,2019-07-06 15:19:03.500,BEL_2019-07-06_5_3564,0.004694142102897857,67.59564628172915,0.88,4
3910491,SAR,2019-08-22,9,9,134,43.0700487878809,-73.769905080185,800,I,YL ,158,STK,100000.0,508,118,Junior Alvarado,1370,3,SAR_2019-08-22_9_9,0,SAR_2019-08-22_9,1014,Xanthique,2019-08-22 17:08:33.500,SAR_2019-08-22_9_1014,0.004703651562065419,67.73258249374203,0.35,2
3757396,AQU,2019-11-11,6,10,399,40.6705962657195,-73.8315780811768,850,T,FM ,88,CLM,38000.0,223,121,Keivan Serrano,7950,10,AQU_2019-11-11_6_10,0,AQU_2019-11-11_6,993,Fotis,2019-11-11 14:24:39.750,AQU_2019-11-11_6_993,0.003785469456299889,54.5107601707184,0.98,4
912326,BEL,2019-06-08,13,7,487,40.7138118561505,-73.7246127917635,1200,D,FT ,78,STK,400000.0,800,119,Jose L. Ortiz,280,5,BEL_2019-06-08_13_7,0,BEL_2019-06-08_13,3341,You're to Blame,2019-06-08 20:02:01.750,BEL_2019-06-08_13_3341,0.004561464578906678,65.68508993625616,0.86,4
2727310,SAR,2019-08-09,10,4,218,43.0722090823686,-73.765058887164,800,I,FM ,30,AOC,92000.0,558,120,Tyler Gaffalione,3375,5,SAR_2019-08-09_10_4,0,SAR_2019-08-09_10,4414,Devious Charm,2019-08-09 17:58:54.500,SAR_2019-08-09_10_4414,0.005008267577202637,72.11905311171797,0.59,3
462455,AQU,2019-03-30,5,2,44,40.6683971908694,-73.8297060136015,800,D,FT ,54,SST,60000.0,347,124,Rajiv Maragh,1070,5,AQU_2019-03-30_5_2,0,AQU_2019-03-30_5,547,Elegant Jem,2019-03-30 15:47:11.000,AQU_2019-03-30_5_547,0.004902290211174419,70.59297904091164,0.11,1
2974813,AQU,2019-12-28,1,3,162,40.6755670096171,-73.8292434983411,600,D,FT ,40,MSW,60000.0,1230,122,Dylan Davis,410,1,AQU_2019-12-28_1_3,1,AQU_2019-12-28_1,2819,A Bridge too Far,2019-12-28 12:30:40.500,AQU_2019-12-28_1_2819,0.004636380076674019,66.76387310410588,0.53,3
2417563,BEL,2019-05-19,9,8,185,40.7173725492402,-73.72502300557,850,T,FM ,88,MCL,41000.0,556,118,Manuel Franco,710,1,BEL_2019-05-19_9_8,1,BEL_2019-05-19_9,1424,Middle Out,2019-05-19 17:56:46.250,BEL_2019-05-19_9_1424,0.004743254725751018,68.30286805081467,0.45,2
1989386,AQU,2019-01-05,5,1,65,40.6719574426365,-73.8280283372685,650,D,SY ,32,AOC,75000.0,226,121,Dylan Davis,870,2,AQU_2019-01-05_5_1,0,AQU_2019-01-05_5,140,Almithmaar,2019-01-05 14:26:16.250,AQU_2019-01-05_5_140,0.005374310477425801,77.39007087493154,0.2,1
2908652,SAR,2019-07-12,7,15,160,43.0736149660423,-73.7673231110012,550,D,FT ,45,ALW,80000.0,440,120,John R. Velazquez,230,2,SAR_2019-07-12_7_15,0,SAR_2019-07-12_7,4032,Saloon Girl,2019-07-12 16:40:40.000,SAR_2019-07-12_7_4032,0.004995561692383436,71.93608837032149,0.61,3
643507,AQU,2019-02-15,7,1,107,40.6711074234321,-73.8284573574013,800,D,FT ,54,AOC,75000.0,408,119,Hector Rafael Diaz Jr.,6125,6,AQU_2019-02-15_7_1,0,AQU_2019-02-15_7,751,Tanya's Gem,2019-02-15 16:08:26.750,AQU_2019-02-15_7_751,0.005139042786204806,74.0022161213492,0.28,2
4038395,SAR,2019-08-16,2,3,194,43.0737647749596,-73.7652511192253,700,D,FT ,32,CLM,80000.0,134,120,Joel Rosario,890,6,SAR_2019-08-16_2_3,0,SAR_2019-08-16_2,201,Shock Therapy,2019-08-16 13:34:48.500,SAR_2019-08-16_2_201,0.004997225397473,71.9600457236112,0.6,3
4581378,BEL,2019-09-22,6,2,330,40.7129784791302,-73.7214246604263,700,D,FT ,63,MSW,62000.0,338,119,Dylan Davis,390,3,BEL_2019-09-22_6_2,0,BEL_2019-09-22_6,3795,Allure Fortune,2019-09-22 15:39:22.500,BEL_2019-09-22_6_3795,0.003547338718802734,51.08167755075937,0.94,4
4864989,SAR,2019-08-10,3,9,121,43.0696998282552,-73.7701193746296,850,T,FM ,20,MSW,90000.0,211,119,Kendrick Carmouche,2170,4,SAR_2019-08-10_3_9,0,SAR_2019-08-10_3,2694,Glynn County,2019-08-10 14:11:30.250,SAR_2019-08-10_3_2694,0.004895407037078045,70.49386133392385,0.3,2
304354,AQU,2019-02-16,8,8,17,40.6705412156845,-73.8285882868645,600,D,FT ,48,STK,100000.0,442,118,Hector Rafael Diaz Jr.,6675,8,AQU_2019-02-16_8_8,0,AQU_2019-02-16_8,963,Queeb,2019-02-16 16:42:04.250,AQU_2019-02-16_8_963,0.004202942299929234,60.52236911898096,0.05,1
